Date/Time,Address,Location,Call Type,Description,Incident Number,Duration
2/21/15 23:20,4100 BLK 18 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00011573,0:31:24
2/21/15 23:14,1100 BLK PRAIRIE PKWY,West Fargo,Loud Party/People,LOUD PARTY,2015-00002739,0:40:54
2/21/15 22:55,5100 BLK AMBER VALLEY PKWY S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00011565,0:22:21
2/21/15 22:36,300 BLK 4 AVE N,Fargo,Loud Party/People,LOUD PARTY,2015-00011561,0:22:12
2/21/15 20:25,1500 BLK 11 AVE N,Fargo,Loud Party/People,LOUD MUSIC / PARTY?,2015-00011543,0:45:04
2/21/15 10:11,4700 BLK 16 AVE S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00011443,0:38:59
2/21/15 1:02,1100 BLK PRAIRIE PKWY,West Fargo,Loud Party/People,LOUD PARTY,2015-00002703,0:14:43
2/20/15 23:39,1100 BLK PRAIRIE PKWY,West Fargo,Loud Party/People,PARTY,2015-00002695,0:34:58
2/20/15 22:36,1200 BLK 11 1/2 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00011354,0:46:15
2/20/15 22:11,700 BLK 30 ST N,Fargo,Loud Party/People,LOUD MUSIC,2015-00011343,1:01:57
2/20/15 0:24,500 BLK 32 AVE S,Moorhead,Loud Party/People,MARIJUANA SMELL\\PARTY,2015-00004650,0:51:08
2/18/15 23:12,3300 BLK 5 ST W,West Fargo,Loud Party/People,LOUD PEOPLE,2015-00002579,0:42:00
2/16/15 22:06,2900 BLK 17 ST S,Moorhead,Loud Party/People,LOUD PPL,2015-00004299,0:17:11
2/16/15 20:46,3000 BLK 10 ST N,Fargo,Loud Party/People,LOUD MUSIC,2015-00010407,0:28:08
2/16/15 0:31,4900 BLK 15 AVE S,Fargo,Loud Party/People,LOUD SCREAMING AND SINGING,2015-00010225,0:15:02
2/16/15 0:28,1400 BLK WEST GATEWAY CIR S,Fargo,Loud Party/People,LOUD MUSIC/PEOPLE,2015-00010224,0:49:34
2/15/15 2:15,4400 BLK CALICO DR S,Fargo,Loud Party/People,LOUD PARTY,2015-00010054,0:28:44
2/15/15 1:29,1100 BLK 19 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00010064,2:08:54
2/15/15 0:02,1200 BLK 34 AVE S,Moorhead,Loud Party/People,LOUD PEOPLE,2015-00004163,0:17:29
2/14/15 4:01,3000 BLK 32 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00009857,0:19:42
2/14/15 0:49,1200 BLK 12 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00009818,0:21:08
2/14/15 0:17,1000 BLK 10 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00009809,0:29:18
2/13/15 23:35,2300 BLK 17 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00009815,1:33:57
2/13/15 22:10,4200 BLK 33 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00009761,0:21:23
2/13/15 21:54,800 BLK 36 AVE E,West Fargo,Loud Party/People,LOUD PARTY,2015-00002310,0:36:28
2/12/15 22:35,400 BLK 23 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00009526,0:55:40
2/12/15 21:52,400 BLK 23 ST S,Fargo,Loud Party/People,LOUD MUSIC/POSS PARTY,2015-00009517,0:30:55
2/12/15 19:58,900 BLK 9 ST W,West Fargo,Loud Party/People,LOUD PPL,2015-00002252,0:22:45
2/9/15 14:26,7100 BLK 41 ST N,Moorhead,Loud Party/People,LOUD PARTY / DELAYED,2015-00000974,0:37:59
2/8/15 1:45,2800 BLK 7 ST W,West Fargo,Loud Party/People,LOUD NOISE,2015-00001987,0:28:24
2/8/15 1:21,1500 BLK 10 ST N,Fargo,Loud Party/People,PARTY,2015-00008435,0:40:05
2/8/15 1:03,0 BLK 4 ST S,Moorhead,Loud Party/People,LOUD MUSIC,,0:02:09
2/7/15 23:59,4000 BLK 34 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00008411,1:11:58
2/7/15 22:41,4300 BLK 9 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00008383,0:47:43
2/7/15 22:38,4000 BLK 34 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00008393,1:07:15
2/7/15 2:31,4900 BLK 16 AVE S,Fargo,Loud Party/People,LOUD MUSIC/BASS,2015-00008214,0:28:59
2/7/15 2:14,0 BLK 2 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00008213,0:37:21
2/6/15 23:40,1100 BLK PRAIRIE PKWY,West Fargo,Loud Party/People,LOUD PARTY,2015-00001915,0:21:17
2/6/15 23:06,5100 BLK AMBER VALLEY PKWY S,Fargo,Loud Party/People,LOUD NEIGHBORS,2015-00008138,0:27:00
2/6/15 5:08,800 BLK 33 AVE N,Fargo,Loud Party/People,LOUD MUSIC/PARTY,2015-00007931,0:57:53
2/5/15 23:33,2300 BLK 20 1/2 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00007871,0:23:52
2/5/15 3:36,1100 BLK 5 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00007697,1:29:26
2/2/15 22:44,1000 BLK MONTE CARLO DR N,Fargo,Loud Party/People,LOUD MUSIC,2015-00007143,0:50:03
2/2/15 1:37,1200 BLK 17 AVE N,Fargo,Loud Party/People,LOUD NEIGHBORS/POSSIBLE PARTY,2015-00000837,0:25:39
2/1/15 23:27,1200 BLK 10 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00006913,0:24:13
2/1/15 22:05,3000 BLK 23 ST S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00006910,1:26:18
2/1/15 20:28,2200 BLK 11 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00006887,0:45:06
2/1/15 0:28,1400 BLK WEST GATEWAY CIR S,Fargo,Loud Party/People,LOUD PARTY,2015-00006755,0:35:12
1/31/15 23:20,1300 BLK BROADWAY N,Fargo,Loud Party/People,LOUD PARTY,2015-00006723,0:18:09
1/31/15 21:20,2500 BLK 14 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00006692,0:35:28
1/30/15 20:54,4800 BLK 16 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00006464,0:14:20
1/29/15 23:51,1900 BLK DAKOTA DR N,Fargo,Loud Party/People,LOUD PARTY,2015-00006284,0:52:11
1/29/15 20:31,1600 BLK 29 AVE S,Fargo,Loud Party/People,LOUD MUSIC COMPLAINT,2015-00006249,0:31:10
1/29/15 7:41,900 BLK 18 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00002577,1:22:28
1/29/15 2:20,900 BLK 5 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00006097,0:23:54
1/28/15 0:12,2600 BLK 11 ST S,Moorhead,Loud Party/People,LOUD PEOPLE OR PARTY,2015-00002469,0:35:46
1/27/15 5:08,2500 BLK 14 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00005671,0:32:34
1/26/15 0:30,600 BLK 2 AVE E,West Fargo,Loud Party/People,LOUD NOISE,2015-00001259,0:14:39
1/25/15 22:55,2400 BLK 4 AVE N,Moorhead,Loud Party/People,LOUD STEREO/PARTY,2015-00002254,0:16:59
1/25/15 14:30,600 BLK BIRCH LN,Moorhead,Loud Party/People,PARTY,2015-00002215,0:34:57
1/25/15 5:01,3400 BLK 18 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00002197,1:11:15
1/24/15 23:46,0 BLK PRAIRIEWOOD DR S,Fargo,Loud Party/People,LOUD PARTY,2015-00005210,0:29:48
1/24/15 2:50,1900 BLK DAKOTA DR N,Fargo,Loud Party/People,LOUD PARTY,2015-00005031,0:18:16
1/24/15 2:33,2000 BLK 23 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00005028,0:20:16
1/24/15 0:26,1500 BLK 4 AVE N,Fargo,Loud Party/People,LOUD PARTY,2015-00004980,0:32:36
1/24/15 0:13,1000 BLK 12 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00004985,1:28:42
1/23/15 23:54,1400 BLK ALBRECHT BLVD N,Fargo,Loud Party/People,LOUD PEOPLE/ POSSIBLY INTOXICATED,2015-00000586,0:17:35
1/23/15 23:34,4300 BLK 10 AVE S,Fargo,Loud Party/People,LOUD MUSIC/TV,2015-00004961,0:30:53
1/23/15 23:25,1300 BLK 12 ST N,Fargo,Loud Party/People,loud party,2015-00004947,0:31:47
1/23/15 23:13,1800 BLK DAKOTA DR N,Fargo,Loud Party/People,LOUD PARTY,2015-00004945,0:30:13
1/23/15 21:50,3100 BLK 23 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00004937,1:43:07
1/22/15 22:59,1700 BLK 10 ST N,Fargo,Loud Party/People,POSSIBLE DISTURBANCE/LOUD PEOPLE,2015-00000561,0:30:33
1/22/15 22:47,1300 BLK 32 ST S,Fargo,Loud Party/People,LOUD MUSIC,2015-00004654,1:47:42
1/22/15 0:36,1200 BLK 34 STREET CIR S,Moorhead,Loud Party/People,LOUD PPL,2015-00001873,1:03:30
1/21/15 20:39,2600 BLK 14 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00004414,1:20:41
1/20/15 21:07,0 BLK ROBERTS ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00004174,1:14:57
1/20/15 19:01,0 BLK ROBERTS ST N,Fargo,Loud Party/People,LOUD PPL,2015-00004158,0:56:35
1/20/15 2:18,0 BLK 8 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00003997,0:55:27
1/18/15 22:38,1500 BLK 11 AVE N,Fargo,Loud Party/People,LOUD PARTY,2015-00003696,1:00:02
1/18/15 2:23,3100 BLK 35 AVE S,Fargo,Loud Party/People,LOUD MUSIC/PEOPLE,2015-00003559,0:18:15
1/18/15 0:26,900 BLK 18 1/2 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00001525,0:39:01
1/18/15 0:17,2300 BLK 17 ST S,Fargo,Loud Party/People,FIRE\\DOMESTIC,Multiple incidents,0:36:48
1/18/15 0:15,500 BLK 33 AVE W,West Fargo,Loud Party/People,LOUD PARTY,2015-00000814,1:00:42
1/17/15 23:37,600 BLK 3 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00001520,0:15:50
1/17/15 22:49,11 ST N,Fargo,Loud Party/People,PARTY,2015-00003506,0:35:06
1/17/15 0:30,1400 BLK 6 AVE S,Moorhead,Loud Party/People,LOUD PEOPLE/DELAYED RPT/INFO FOR OFCRS,2015-00001441,0:12:43
1/16/15 22:55,1900 BLK DAKOTA DR N,Fargo,Loud Party/People,LOUD PARTY/STOMPING,2015-00003240,1:02:36
1/16/15 22:54,1100 BLK 3 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00003225,0:30:36
1/16/15 22:12,1100 BLK 16 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00003224,1:30:20
1/16/15 1:58,500 BLK CENTER AVE E,Dilworth,Loud Party/People,LOUD PEOPLE,Multiple incidents,0:10:49
1/15/15 4:21,5000 BLK 40 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00002785,0:10:47
1/14/15 0:16,1100 BLK 19 ST N,Fargo,Loud Party/People,LOUD PPL,2015-00002529,0:53:58
1/14/15 0:00,3500 BLK 47 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00002526,1:16:39
1/13/15 22:45,2400 BLK 20 AVE S,Fargo,Loud Party/People,LOUD MUSIC/TV/PARTY,2015-00002514,0:30:51
1/12/15 0:46,1100 BLK 13 AVE N,Fargo,Loud Party/People,PARTY,2015-00002157,0:24:05
1/11/15 2:14,800 BLK 24 AVE S,Moorhead,Loud Party/People,LOUD PARTY,2015-00000880,0:13:51
1/10/15 23:52,1300 BLK 8 AVE N,Fargo,Loud Party/People,LOUD PARTY,2015-00001977,0:47:30
1/10/15 23:33,1700 BLK 40 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00001970,0:19:46
1/10/15 21:21,4700 BLK 16 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00001947,0:30:59
1/10/15 6:06,1400 BLK 12 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00001843,0:47:49
1/10/15 3:26,300 BLK 4 AVE N,Fargo,Loud Party/People,LOUD PEOPLE/WELFARE CHECK,2015-00001832,0:45:26
1/10/15 2:26,2500 BLK VILLA DR S,Fargo,Loud Party/People,LOUD PARTY,2015-00001828,1:09:15
1/10/15 0:53,500 BLK 30 AVE S,Moorhead,Loud Party/People,LOUD PARTY,2015-00000787,0:16:30
1/9/15 21:48,5400 BLK AMBER VALLEY PKWY S,Fargo,Loud Party/People,LOUD PARTY,2015-00001785,1:30:48
1/9/15 3:26,1900 BLK DAKOTA DR N,Fargo,Loud Party/People,LOUD PARTY,2015-00001637,0:21:32
1/5/15 23:36,1600 BLK 33 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00001001,0:24:59
1/4/15 2:15,1400 BLK 5 AVE S,Fargo,Loud Party/People,LOUD PARTY/MJ ODOR,Multiple incidents,0:14:36
1/3/15 21:17,4300 BLK 15 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00000583,2:04:59
1/3/15 2:19,1200 BLK 2 ST E,West Fargo,Loud Party/People,LOUD PEOPLE/MUSIC,2015-00000088,0:20:40
1/3/15 1:39,1300 BLK 6 ST E,West Fargo,Loud Party/People,LOUD MUSIC,2015-00000085,0:24:56
1/3/15 1:02,1000 BLK 16 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00000437,0:39:31
1/3/15 1:01,1200 BLK 12 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00000205,1:19:47
1/3/15 0:03,700 BLK 23 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00000424,0:16:37
1/3/15 0:02,1200 BLK 1 ST,West Fargo,Loud Party/People,LOUD PEOPLE,2015-00000082,0:14:23
1/2/15 23:24,1000 BLK 11 ST S,Moorhead,Loud Party/People,LOUD PARTY,2015-00000194,1:38:37
